ID Candidato,Municipio,Candidato,Votos,pct_votos_trazados,Ganador,n_posts_total,n_posts_facebook,facebook_likes_total,facebook_likes_late_growth,facebook_comentarios_total,facebook_comentarios_late_growth,facebook_compartidos_total,facebook_compartidos_late_growth,facebook_vistas_total,facebook_vistas_late_growth,facebook_favoritos_total,facebook_favoritos_late_growth,facebook_fb_love_total,facebook_fb_love_late_growth,facebook_fb_haha_total,facebook_fb_haha_late_growth,facebook_fb_care_total,facebook_fb_care_late_growth,facebook_fb_wow_total,facebook_fb_wow_late_growth,facebook_fb_sad_total,facebook_fb_sad_late_growth,facebook_fb_angry_total,facebook_fb_angry_late_growth,n_posts_tiktok,tiktok_likes_total,tiktok_likes_late_growth,tiktok_comentarios_total,tiktok_comentarios_late_growth,tiktok_compartidos_total,tiktok_compartidos_late_growth,tiktok_vistas_total,tiktok_vistas_late_growth,tiktok_favoritos_total,tiktok_favoritos_late_growth,tiktok_fb_love_total,tiktok_fb_love_late_growth,tiktok_fb_haha_total,tiktok_fb_haha_late_growth,tiktok_fb_care_total,tiktok_fb_care_late_growth,tiktok_fb_wow_total,tiktok_fb_wow_late_growth,tiktok_fb_sad_total,tiktok_fb_sad_late_growth,tiktok_fb_angry_total,tiktok_fb_angry_late_growth,n_posts_twitter,twitter_likes_total,twitter_likes_late_growth,twitter_comentarios_total,twitter_comentarios_late_growth,twitter_compartidos_total,twitter_compartidos_late_growth,twitter_vistas_total,twitter_vistas_late_growth,twitter_favoritos_total,twitter_favoritos_late_growth,twitter_fb_love_total,twitter_fb_love_late_growth,twitter_fb_haha_total,twitter_fb_haha_late_growth,twitter_fb_care_total,twitter_fb_care_late_growth,twitter_fb_wow_total,twitter_fb_wow_late_growth,twitter_fb_sad_total,twitter_fb_sad_late_growth,twitter_fb_angry_total,twitter_fb_angry_late_growth,total_likes,total_comentarios,total_compartidos,total_vistas,total_favoritos,total_fb_love,total_fb_haha,total_fb_care,total_fb_wow,total_fb_sad,total_fb_angry,avg_interactions_per_post,max_interactions_single_post,std_interactions
COL-44001-004,Riohacha,Eriberto Antonio Ibarra Campo,21198,27.13482930326033,No,50,40,1834,48,205,3,342,5,48316,953,0,0,289,2,7,0,32,0,1,0,9,0,5,0,10,266,14,4,0,4,0,6057,328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,209,346,54373,3,289,7,32,1,9,5,53.1,818,117.90245882049436
COL-44001-006,Riohacha,Jose Alberto Duran Rodriguez,26833,34.34799861752922,No,14,14,1975,47,258,5,647,14,81012,2046,0,0,332,6,35,1,46,0,2,0,72,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,258,647,81012,0,332,35,46,2,72,4,205.71428571428572,861,239.12128514833012
COL-47001-001,Santa Marta,Jorge Luis Agudelo Apreza,85504,50.038624499637166,Sí,90,50,5198,122,1277,38,2049,48,10140,240,0,0,650,3,24,0,93,0,1,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5422,6,1079,0,2901,1,136357,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10620,2356,4950,146497,0,650,24,93,1,15,5,199.17777777777778,500,80.41208162590206
COL-47001-002,Santa Marta,Carlos Alberto Pinedo Cuello,85372,49.961375500362834,No,88,48,4490,106,582,8,764,10,34406,800,0,0,568,2,46,0,58,0,0,0,2,0,290,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4712,2,512,0,1300,0,266357,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9202,1094,2064,300763,0,568,46,58,0,2,290,140.45454545454547,416,80.84423921086844
COL-70001-001,Sincelejo,Aldemar Alfaro Rivero,12363,9.557567277140846,No,22,22,6937,156,838,16,453,10,677544,15897,0,0,942,23,508,9,85,0,11,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6937,838,453,677544,0,942,508,85,11,3,6,374.0,2640,544.780165361615
COL-70001-003,Sincelejo,Diego Mercado Sanabria,38152,29.49448408618277,No,17,17,3994,103,583,15,227,4,76929,1716,0,0,401,7,574,15,48,0,18,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3994,583,227,76929,0,401,574,48,18,6,17,282.5882352941176,2210,529.223730904937
COL-70001-014,Sincelejo,Yahir Fernando Acuña Cardales,78838,60.94794863667639,Sí,3,3,6048,138,1173,27,679,15,61659,1390,0,0,1393,32,26,0,147,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6048,1173,679,61659,0,1393,26,147,2,1,1,2633.3333333333335,3338,922.6485426929007
COL-25754-006,Soacha,Victor Julian Sanchez Acosta,62960,41.77919932049078,Sí,87,50,25470,585,3761,79,4320,95,385143,8623,0,0,4192,96,1088,25,228,0,31,0,8,0,65,0,9,3541,212,123,8,349,20,195835,11723,156,8,0,0,0,0,0,0,0,0,0,0,0,0,28,362,0,40,0,67,0,36613,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29373,3924,4736,617591,156,4192,1088,228,31,8,65,437.1609195402299,2507,583.1076304487163
COL-25754-007,Soacha,Heiner de Jesus Gaitan Parra,19497,12.937881975089086,No,26,20,6884,166,622,14,1629,40,96479,2579,0,0,1471,36,73,1,79,0,0,0,2,0,7,0,6,1508,87,52,2,102,5,27050,1569,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8392,674,1731,123529,33,1471,73,79,0,2,7,415.2692307692308,1651,382.14934857380644
COL-25754-008,Soacha,Gloria Betty Zorro Africano,14881,9.874781847017525,No,64,64,10684,270,3514,92,2112,58,787219,20350,0,0,2102,64,946,22,354,0,52,0,42,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10684,3514,2112,787219,0,2102,946,354,52,42,44,254.84375,1223,228.562673753466
